---------------------
-   11 Puzzle 4x3   -
---------------------

         Branching Factor
---------------------------------------------
Depth         N=0           N=1          N=2
---------------------------------------------

0          ------      ------       ------
1             2              2            2
2             3              2            2
3          2.833333       2.25         2.25
4          3.117647       2.222222     2.222222
5          2.962264       1.85         1.85
6          3.076433       1.72973      1.72973
7          3.00207        2            2
8          3.052414       1.992188     1.992188
9          3.018753       1.92549      1.92549
10         3.041314       1.90835      1.90835
11         3.026184       1.923159     1.923159
12         3.036318       1.946171     1.946171
13         3.029523       1.927573     1.927573
14         3.034075       1.923077     1.923077
15         3.031023       1.934077     1.934077
16         3.033068       1.933699     1.933699
17         3.031698       1.928402     1.928402
18         3.032616       1.92696      1.92696
19         3.032001       1.931182     1.931182
20         3.032413       1.932766     1.932766


Min depth where nodes greater than possible states: 19

