algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, 11Puzzle4x3, 4 3 2 6 1 8 B 5 7 9 10 11 , 10, 6267, 0.002665, 2351594.750000
dfid, 11Puzzle4x3, 3 1 4 5 B 2 6 7 8 9 10 11 , 8, 2636, 0.001242, 2122383.250000
dfid, 11Puzzle4x3, 3 1 2 6 7 11 8 4 10 9 B 5 , 18, 960839, 0.212982, 4511362.500000
dfid, 11Puzzle4x3, 4 3 2 1 7 5 10 9 8 6 B 11 , 12, 29427, 0.004191, 7021474.500000
dfid, 11Puzzle4x3, 3 1 4 6 5 2 B 7 8 9 10 11 , 8, 1625, 0.000252, 6448412.500000
dfid, 11Puzzle4x3, 3 5 2 1 9 11 10 4 B 6 8 7 , na, na, na, na
dfid, 11Puzzle4x3, 1 2 B 3 6 4 7 8 5 9 10 11 , 10, 4557, 0.000601, 7582363.000000
dfid, 11Puzzle4x3, 3 5 1 4 7 2 6 10 8 9 B 11 , 8, 1884, 0.000246, 7658536.500000
dfid, 11Puzzle4x3, 1 4 B 3 7 2 9 6 5 10 11 8 , 10, 5822, 0.000766, 7600522.000000
dfid, 11Puzzle4x3, 1 2 B 3 4 5 9 11 8 7 6 10 , 14, 89367, 0.011911, 7502896.500000
dfid, 11Puzzle4x3, B 2 3 1 6 5 11 7 4 9 8 10 , 24, 71252887, 9.496177, 7503323.500000
dfid, 11Puzzle4x3, 3 1 B 6 5 2 10 4 8 7 9 11 , 10, 7100, 0.001041, 6820365.000000
dfid, 11Puzzle4x3, 3 1 2 6 8 4 9 7 5 10 B 11 , 10, 6490, 0.001180, 5500000.000000
dfid, 11Puzzle4x3, B 3 2 6 1 4 9 7 5 10 11 8 , 10, 5561, 0.000995, 5588944.500000
dfid, 11Puzzle4x3, 1 4 2 3 7 5 10 8 11 6 B 9 , 10, 5628, 0.001029, 5469387.500000
dfid, 11Puzzle4x3, 2 3 B 6 8 5 9 11 4 7 1 10 , 28, 876305283, 125.577217, 6978218.500000
dfid, 11Puzzle4x3, 3 2 5 6 4 10 1 7 8 9 B 11 , 20, 4137580, 0.633568, 6530601.500000
dfid, 11Puzzle4x3, B 4 1 5 2 8 3 7 11 6 9 10 , 18, 1119564, 0.166877, 6708917.500000
dfid, 11Puzzle4x3, B 3 2 4 1 5 6 7 8 9 10 11 , 4, 89, 0.000017, 5235294.000000
dfid, 11Puzzle4x3, B 7 2 1 3 8 4 5 6 9 10 11 , 14, 101291, 0.015078, 6717801.000000
dfid, 11Puzzle4x3, 1 4 2 3 7 5 6 8 11 9 B 10 , 6, 363, 0.000068, 5338235.000000
dfid, 11Puzzle4x3, 2 4 3 1 7 5 B 6 8 9 10 11 , 14, 109297, 0.016203, 6745479.500000
dfid, 11Puzzle4x3, 3 1 2 6 4 5 B 9 11 10 8 7 , 10, 8818, 0.001336, 6600299.000000
dfid, 11Puzzle4x3, 6 3 4 10 1 2 9 7 5 11 B 8 , 20, 4203215, 0.620935, 6769170.500000
dfid, 11Puzzle4x3, 7 8 1 3 B 2 4 6 5 9 10 11 , 14, 85008, 0.014811, 5739518.000000
dfid, 11Puzzle4x3, 3 5 4 6 2 1 7 10 8 9 B 11 , 16, 389663, 0.057621, 6762517.500000
dfid, 11Puzzle4x3, 3 1 2 10 4 8 5 7 11 6 B 9 , 16, 297529, 0.044243, 6724883.000000
dfid, 11Puzzle4x3, 3 1 5 2 7 4 6 10 8 9 B 11 , 10, 7437, 0.001120, 6640178.500000
dfid, 11Puzzle4x3, 3 1 2 6 4 5 7 10 8 9 B 11 , 4, 142, 0.000033, 4303030.500000
dfid, 11Puzzle4x3, 3 1 2 4 7 5 B 6 10 9 11 8 , 8, 2609, 0.000403, 6473945.000000
dfid, 11Puzzle4x3, 3 2 5 4 1 8 6 7 11 9 B 10 , 8, 1278, 0.000207, 6173913.000000
dfid, 11Puzzle4x3, 3 2 B 4 1 5 6 7 8 9 10 11 , 4, 89, 0.000015, 5933333.500000
dfid, 11Puzzle4x3, 1 5 4 7 B 2 3 6 10 9 11 8 , 14, 98370, 0.016075, 6119440.000000
dfid, 11Puzzle4x3, 1 7 B 3 6 2 11 8 9 4 5 10 , 28, 1027177645, 141.066193, 7281529.500000
dfid, 11Puzzle4x3, 3 1 4 6 B 7 9 5 2 10 8 11 , 16, 590109, 0.079621, 7411474.000000
dfid, 11Puzzle4x3, 3 1 2 6 4 5 9 7 B 11 8 10 , 12, 26214, 0.003558, 7367622.000000
dfid, 11Puzzle4x3, 1 2 B 3 4 11 7 8 5 6 9 10 , 16, 257373, 0.034729, 7410896.000000
dfid, 11Puzzle4x3, 3 1 2 8 B 4 6 10 9 5 7 11 , 22, 24821434, 3.446331, 7202278.000000
dfid, 11Puzzle4x3, 3 1 B 6 8 2 5 4 10 9 11 7 , 16, 374427, 0.050687, 7387042.000000
dfid, 11Puzzle4x3, 1 5 B 3 2 8 6 4 11 9 7 10 , 10, 4571, 0.000619, 7384491.000000
dfid, 11Puzzle4x3, 4 1 3 10 2 5 7 8 11 6 B 9 , 22, 13220950, 1.686759, 7838079.000000
dfid, 11Puzzle4x3, B 4 2 1 8 3 6 10 7 11 9 5 , 22, 17206896, 2.238247, 7687666.500000
dfid, 11Puzzle4x3, B 4 5 1 6 7 3 10 2 9 11 8 , 20, 2918556, 0.489664, 5960324.000000
dfid, 11Puzzle4x3, 1 5 B 6 2 8 3 4 11 7 9 10 , 18, 911334, 0.131041, 6954571.000000
dfid, 11Puzzle4x3, 3 1 2 6 4 7 9 8 10 11 B 5 , 16, 317244, 0.044760, 7087667.500000
dfid, 11Puzzle4x3, 2 5 B 9 11 8 1 7 6 3 10 4 , na, na, na, na
dfid, 11Puzzle4x3, 5 1 B 3 4 2 8 6 7 9 10 11 , 20, 4699093, 0.591070, 7950146.500000
dfid, 11Puzzle4x3, 1 4 2 3 5 8 6 10 7 9 B 11 , 6, 605, 0.000077, 7857143.000000
dfid, 11Puzzle4x3, 3 6 2 1 7 5 9 4 8 10 B 11 , 20, 4260987, 0.652319, 6532060.000000
dfid, 11Puzzle4x3, 1 2 5 11 B 4 7 3 10 6 9 8 , 18, 1577061, 0.187190, 8424921.000000
dfid, 11Puzzle4x3, 3 1 2 11 7 5 9 10 B 6 4 8 , 24, 91090172, 11.774786, 7736036.500000
