algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, Pancakes16, 15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13 , na, na, na, na
dfid, Pancakes16, 9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10 , na, na, na, na
dfid, Pancakes16, 1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8 , na, na, na, na
dfid, Pancakes16, 3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2 , 4, 507983, 0.063486, 8001496.000000
dfid, Pancakes16, 4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15 , na, na, na, na
dfid, Pancakes16, 1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10 , na, na, na, na
dfid, Pancakes16, 14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11 , na, na, na, na
dfid, Pancakes16, 11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15 , 4, 132820, 0.006225, 21336546.000000
dfid, Pancakes16, 14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0 , 6, 12362336, 0.579675, 21326322.000000
dfid, Pancakes16, 13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15 , 1, 198, 0.000014, 14142857.000000
dfid, Pancakes16, 4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10 , na, na, na, na
dfid, Pancakes16, 5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11 , 4, 418799, 0.017626, 23760296.000000
dfid, Pancakes16, 1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15 , 7, 751159488, 34.986027, 21470272.000000
dfid, Pancakes16, 4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15 , 2, 290, 0.000020, 14500000.000000
dfid, Pancakes16, 9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15 , 4, 72200, 0.003389, 21304220.000000
dfid, Pancakes16, 5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15 , 4, 242771, 0.011576, 20971926.000000
dfid, Pancakes16, 15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13 , na, na, na, na
