algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
dfid, manhatan, 1.500000, 15Puzzle, 7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14 , 57, 61, 126347, 0.120000, 1052891.666667
dfid, manhatan, 1.500000, 15Puzzle, 14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3 , 61, 61, 1700887, 1.660000, 1024630.722892
dfid, manhatan, 1.500000, 15Puzzle, 13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6 , 63, 64, 1356520, 1.330000, 1019939.849624
dfid, manhatan, 1.500000, 15Puzzle, 14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15 , 61, 61, 9279070, 9.170000, 1011894.220284
dfid, manhatan, 1.500000, 15Puzzle, 5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6 , 62, 63, 292668, 0.290000, 1009200.000000
dfid, manhatan, 1.500000, 15Puzzle, 4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B , 62, 63, 227408, 0.220000, 1033672.727273
dfid, manhatan, 1.500000, 15Puzzle, 14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13 , 56, 54, 266495, 0.270000, 987018.518519
dfid, manhatan, 1.500000, 15Puzzle, 2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B , 54, 45, 1706022, 1.710000, 997673.684211
dfid, manhatan, 1.500000, 15Puzzle, 12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7 , 54, 48, 2118648, 2.110000, 1004098.578199
dfid, manhatan, 1.500000, 15Puzzle, 3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B , 48, 48, 23834, 0.020000, 1191700.000000
dfid, manhatan, 1.500000, 15Puzzle, 13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1 , 63, 64, 360935, 0.360000, 1002597.222222
dfid, manhatan, 1.500000, 15Puzzle, 5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1 , 59, 64, 7035, 0.010000, 703500.000000
dfid, manhatan, 1.500000, 15Puzzle, 14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15 , 51, 52, 21548, 0.020000, 1077400.000000
dfid, manhatan, 1.500000, 15Puzzle, 3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7 , 50, 54, 2746662, 2.740000, 1002431.386861
dfid, manhatan, 1.500000, 15Puzzle, 7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12 , 63, 61, 69198838, 69.380000, 997388.844047
dfid, manhatan, 1.500000, 15Puzzle, 13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B , 66, 66, 721689, 0.730000, 988615.068493
