algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
dfid, manhatan, 2.000000, 15Puzzle, 7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14 , 75, 82, 4773, 0.000000, inf
dfid, manhatan, 2.000000, 15Puzzle, 14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3 , 75, 82, 128605, 0.130000, 989269.230769
dfid, manhatan, 2.000000, 15Puzzle, 13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6 , 81, 86, 46872, 0.040000, 1171800.000000
dfid, manhatan, 2.000000, 15Puzzle, 14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15 , 77, 82, 75201, 0.080000, 940012.500000
dfid, manhatan, 2.000000, 15Puzzle, 5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6 , 76, 84, 191133, 0.180000, 1061850.000000
dfid, manhatan, 2.000000, 15Puzzle, 4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B , 76, 84, 25824, 0.030000, 860800.000000
dfid, manhatan, 2.000000, 15Puzzle, 14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13 , 64, 72, 60895, 0.060000, 1014916.666667
dfid, manhatan, 2.000000, 15Puzzle, 2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B , 58, 60, 87525, 0.080000, 1094062.500000
dfid, manhatan, 2.000000, 15Puzzle, 12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7 , 62, 64, 208696, 0.210000, 993790.476190
dfid, manhatan, 2.000000, 15Puzzle, 3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B , 58, 64, 336311, 0.550000, 611474.545455
dfid, manhatan, 2.000000, 15Puzzle, 13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1 , 79, 86, 3053, 0.010000, 305300.000000
dfid, manhatan, 2.000000, 15Puzzle, 5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1 , 81, 86, 20453, 0.050000, 409060.000000
dfid, manhatan, 2.000000, 15Puzzle, 14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15 , 57, 70, 7820, 0.010000, 782000.000000
dfid, manhatan, 2.000000, 15Puzzle, 3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7 , 64, 72, 79492, 0.160000, 496825.000000
dfid, manhatan, 2.000000, 15Puzzle, 7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12 , 75, 82, 1503408, 2.390000, 629041.004184
