algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, 11Puzzle4x3, 3 2 5 4 1 8 6 7 11 9 B 10 , 8, 1278, 0.000207, 6173913.000000
dfid, 11Puzzle4x3, 3 2 B 4 1 5 6 7 8 9 10 11 , 4, 89, 0.000015, 5933333.500000
dfid, 11Puzzle4x3, 1 5 4 7 B 2 3 6 10 9 11 8 , 14, 98370, 0.016075, 6119440.000000
dfid, 11Puzzle4x3, 1 7 B 3 6 2 11 8 9 4 5 10 , 28, 1027177645, 141.066193, 7281529.500000
dfid, 11Puzzle4x3, 3 1 4 6 B 7 9 5 2 10 8 11 , 16, 590109, 0.079621, 7411474.000000
dfid, 11Puzzle4x3, 3 1 2 6 4 5 9 7 B 11 8 10 , 12, 26214, 0.003558, 7367622.000000
dfid, 11Puzzle4x3, 1 2 B 3 4 11 7 8 5 6 9 10 , 16, 257373, 0.034729, 7410896.000000
dfid, 11Puzzle4x3, 3 1 2 8 B 4 6 10 9 5 7 11 , 22, 24821434, 3.446331, 7202278.000000
dfid, 11Puzzle4x3, 3 1 B 6 8 2 5 4 10 9 11 7 , 16, 374427, 0.050687, 7387042.000000
dfid, 11Puzzle4x3, 1 5 B 3 2 8 6 4 11 9 7 10 , 10, 4571, 0.000619, 7384491.000000
dfid, 11Puzzle4x3, 4 1 3 10 2 5 7 8 11 6 B 9 , 22, 13220950, 1.686759, 7838079.000000
dfid, 11Puzzle4x3, B 4 2 1 8 3 6 10 7 11 9 5 , 22, 17206896, 2.238247, 7687666.500000
dfid, 11Puzzle4x3, B 4 5 1 6 7 3 10 2 9 11 8 , 20, 2918556, 0.489664, 5960324.000000
dfid, 11Puzzle4x3, 1 5 B 6 2 8 3 4 11 7 9 10 , 18, 911334, 0.131041, 6954571.000000
dfid, 11Puzzle4x3, 3 1 2 6 4 7 9 8 10 11 B 5 , 16, 317244, 0.044760, 7087667.500000
dfid, 11Puzzle4x3, 2 5 B 9 11 8 1 7 6 3 10 4 , na, na, na, na
dfid, 11Puzzle4x3, 5 1 B 3 4 2 8 6 7 9 10 11 , 20, 4699093, 0.591070, 7950146.500000
dfid, 11Puzzle4x3, 1 4 2 3 5 8 6 10 7 9 B 11 , 6, 605, 0.000077, 7857143.000000
dfid, 11Puzzle4x3, 3 6 2 1 7 5 9 4 8 10 B 11 , 20, 4260987, 0.652319, 6532060.000000
dfid, 11Puzzle4x3, 1 2 5 11 B 4 7 3 10 6 9 8 , 18, 1577061, 0.187190, 8424921.000000
dfid, 11Puzzle4x3, 3 1 2 11 7 5 9 10 B 6 4 8 , 24, 91090172, 11.774786, 7736036.500000
dfid, 11Puzzle4x3, 1 2 5 3 4 8 7 9 11 6 B 10 , 10, 7822, 0.000932, 8392704.000000
dfid, 11Puzzle4x3, 3 5 B 7 2 1 4 6 8 9 10 11 , 12, 19394, 0.002290, 8468996.000000
dfid, 11Puzzle4x3, 1 4 8 2 10 5 7 9 6 3 B 11 , 24, 74272075, 9.737199, 7627663.000000
dfid, 11Puzzle4x3, 1 5 4 3 B 2 6 7 10 9 11 8 , 12, 26075, 0.004520, 5768805.500000
dfid, 11Puzzle4x3, 1 2 5 3 4 8 7 11 B 6 9 10 , 10, 9169, 0.001580, 5803164.500000
dfid, 11Puzzle4x3, 3 1 2 4 7 5 6 10 8 9 B 11 , 4, 128, 0.000023, 5565217.500000
dfid, 11Puzzle4x3, 1 4 2 10 3 5 B 6 8 9 7 11 , 14, 124913, 0.021451, 5823178.500000
dfid, 11Puzzle4x3, 3 5 B 4 7 8 6 1 2 9 11 10 , 26, 216306480, 28.391376, 7618738.500000
dfid, 11Puzzle4x3, 5 3 4 1 2 8 6 7 11 9 B 10 , 14, 68128, 0.007969, 8549127.000000
