algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, Pancake16, 15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13 , na, na, na, na
dfid, Pancake16, 9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10 , na, na, na, na
dfid, Pancake16, 1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8 , na, na, na, na
dfid, Pancake16, 3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2 , 4, 507983, 0.018857, 26938696.000000
dfid, Pancake16, 4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15 , na, na, na, na
dfid, Pancake16, 1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10 , na, na, na, na
dfid, Pancake16, 14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11 , na, na, na, na
dfid, Pancake16, 11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15 , 4, 132820, 0.004932, 26930252.000000
dfid, Pancake16, 14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0 , 6, 12362336, 0.459550, 26900960.000000
dfid, Pancake16, 13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15 , 1, 198, 0.000008, 24750000.000000
dfid, Pancake16, 4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10 , na, na, na, na
dfid, Pancake16, 5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11 , 4, 418799, 0.015503, 27014062.000000
dfid, Pancake16, 1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15 , 7, 751159488, 28.105240, 26726670.000000
dfid, Pancake16, 4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15 , 2, 290, 0.000011, 26363636.000000
dfid, Pancake16, 9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15 , 4, 72200, 0.002681, 26930250.000000
dfid, Pancake16, 5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15 , 4, 242771, 0.008994, 26992550.000000
dfid, Pancake16, 15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13 , na, na, na, na
dfid, Pancake16, 6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15 , 3, 18949, 0.000703, 26954480.000000
dfid, Pancake16, 3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15 , 5, 3032308, 0.112088, 27052922.000000
dfid, Pancake16, 7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15 , 3, 11007, 0.000409, 26911980.000000
dfid, Pancake16, 15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9 , 6, 57003369, 2.120109, 26886998.000000
dfid, Pancake16, 2 3 4 11 14 10 7 0 5 1 13 12 8 9 6 15 , na, na, na, na
dfid, Pancake16, 9 8 7 6 5 10 3 2 1 0 11 14 13 12 4 15 , 6, 40038573, 1.498404, 26720812.000000
dfid, Pancake16, 10 9 4 14 15 3 0 7 12 6 1 8 11 13 5 2 , na, na, na, na
