algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
dfid, manhatan, 15Puzzle, 7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14 , 53, 41, 26817210, 8.460168, 3169820.000000
dfid, manhatan, 15Puzzle, 14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3 , 57, 41, 208524321, 64.610748, 3227393.750000
dfid, manhatan, 15Puzzle, 13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6 , 55, 43, 20765659, 6.420572, 3234238.500000
dfid, manhatan, 15Puzzle, 14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15 , 59, 41, 476339300, 147.074005, 3238772.750000
dfid, manhatan, 15Puzzle, 5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6 , 56, 42, 76776748, 23.766188, 3230503.500000
dfid, manhatan, 15Puzzle, 4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B , 56, 42, 12952807, 4.010241, 3229932.250000
dfid, manhatan, 15Puzzle, 14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13 , 52, 36, 12244648, 3.784480, 3235490.250000
dfid, manhatan, 15Puzzle, 2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B , 52, 30, 161674807, 49.998035, 3233623.000000
dfid, manhatan, 15Puzzle, 12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7 , 50, 32, 70210341, 21.687000, 3237439.250000
dfid, manhatan, 15Puzzle, 3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B , 46, 32, 1487249, 0.458172, 3246049.500000
dfid, manhatan, 15Puzzle, 13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1 , 59, 43, 219039740, 67.654648, 3237615.500000
dfid, manhatan, 15Puzzle, 5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1 , 57, 43, 107853913, 33.349586, 3234040.500000
dfid, manhatan, 15Puzzle, 14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15 , 45, 35, 376832, 0.119498, 3153458.750000
dfid, manhatan, 15Puzzle, 3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7 , 46, 36, 19019600, 5.870190, 3240031.250000
dfid, manhatan, 15Puzzle, 7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12 , 59, 41, 635693395, 197.041458, 3226191.000000
dfid, manhatan, 15Puzzle, 13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B , 62, 44, 577235462, 179.170700, 3221706.750000
dfid, manhatan, 15Puzzle, 1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B , 42, 24, 8156590, 2.521093, 3235339.000000
dfid, manhatan, 15Puzzle, 15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12 , 66, 46, 392576891, 122.299011, 3209976.000000
dfid, manhatan, 15Puzzle, 6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13 , 55, 43, 25489081, 8.065278, 3160347.250000
dfid, manhatan, 15Puzzle, 7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10 , 46, 36, 1639590, 0.505724, 3242064.750000
dfid, manhatan, 15Puzzle, 6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B , 52, 36, 18984688, 5.941911, 3195047.500000
dfid, manhatan, 15Puzzle, 12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2 , 54, 34, 75093082, 23.657930, 3174118.750000
dfid, manhatan, 15Puzzle, 14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6 , 59, 41, 340420580, 105.088608, 3239367.000000
dfid, manhatan, 15Puzzle, 10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12 , 49, 33, 14415480, 4.458056, 3233579.750000
dfid, manhatan, 15Puzzle, 7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B , 54, 34, 41204874, 12.749732, 3231822.500000
dfid, manhatan, 15Puzzle, 11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12 , 52, 32, 79379906, 24.555170, 3232716.500000
dfid, manhatan, 15Puzzle, 5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11 , 58, 40, 293151707, 90.674614, 3233007.500000
dfid, manhatan, 15Puzzle, 14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11 , 53, 33, 181199949, 55.980282, 3236853.250000
dfid, manhatan, 15Puzzle, 13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7 , 52, 36, 6741228, 2.084077, 3234635.000000
dfid, manhatan, 15Puzzle, 9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12 , 54, 38, 116243363, 36.001953, 3228807.000000
dfid, manhatan, 15Puzzle, 12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11 , 47, 35, 1812315, 0.562274, 3223188.500000
dfid, manhatan, 15Puzzle, 12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10 , 50, 38, 2842632, 0.878276, 3236604.500000
dfid, manhatan, 15Puzzle, 14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15 , 59, 43, 741186859, 229.316315, 3232159.500000
dfid, manhatan, 15Puzzle, 14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8 , 60, 42, 345291243, 107.061615, 3225163.750000
dfid, manhatan, 15Puzzle, 6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15 , 52, 36, 48625953, 15.028528, 3235576.500000
