algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
dfid, manhatan, 15Puzzle, 10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12 , 56, 44, 26532682, 8.312733, 3191812.250000
dfid, manhatan, 15Puzzle, 10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5 , 56, 38, 384515996, 120.675278, 3186369.250000
dfid, manhatan, 15Puzzle, 14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6 , 64, 50, 424792873, 133.666199, 3178012.500000
dfid, manhatan, 15Puzzle, 12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1 , 56, 40, 269503672, 84.624466, 3184701.750000
dfid, manhatan, 15Puzzle, 13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11 , 41, 29, 757573, 0.235613, 3215327.750000
dfid, manhatan, 15Puzzle, 3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8 , na, 29, na, na, na
dfid, manhatan, 15Puzzle, 5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14 , 50, 36, 7706932, 6.551283, 1176400.375000
dfid, manhatan, 15Puzzle, 5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13 , 51, 37, 14396889, 12.300563, 1170425.250000
dfid, manhatan, 15Puzzle, 15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3 , na, 35, na, na, na
dfid, manhatan, 15Puzzle, 11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B , na, 48, na, na, na
dfid, manhatan, 15Puzzle, 6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15 , 45, 31, 7579794, 6.437024, 1177530.750000
dfid, manhatan, 15Puzzle, 4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5 , 57, 43, 32297368, 27.677694, 1166909.625000
dfid, manhatan, 15Puzzle, 8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3 , na, 40, na, na, na
dfid, manhatan, 15Puzzle, 5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1 , 51, 31, 336437538, 105.631790, 3185002.750000
dfid, manhatan, 15Puzzle, 7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14 , 47, 31, 8924418, 2.766224, 3226209.500000
dfid, manhatan, 15Puzzle, 11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2 , na, 41, na, na, na
dfid, manhatan, 15Puzzle, 7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9 , 50, 28, 231931736, 200.056519, 1159331.125000
dfid, manhatan, 15Puzzle, 7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9 , 51, 31, 60322049, 51.209255, 1177952.125000
dfid, manhatan, 15Puzzle, 6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3 , 53, 37, 103689908, 89.172226, 1162804.875000
dfid, manhatan, 15Puzzle, 15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11 , 52, 30, 143560940, 123.494034, 1162493.000000
dfid, manhatan, 15Puzzle, 5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14 , 44, 30, 5563474, 4.711758, 1180763.875000
dfid, manhatan, 15Puzzle, 12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6 , na, 38, na, na, na
dfid, manhatan, 15Puzzle, 6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13 , 49, 37, 2807090, 2.388672, 1175167.625000
dfid, manhatan, 15Puzzle, 14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5 , 56, 46, 2045798, 1.740566, 1175363.625000
